Ano;Leilao;Mes;Preço_Biodiesel;Preço_Metanol;Preço_OleoSoja;Dolar
2017;52;jan;2810,81;416;793,380425;3,2
2017;52;fev;2810,81;416;765,32689;3,1
2017;53;mar;2302,38;499;729,667485;3,13
2017;53;abr;2302,38;442;710,21189;3,14
2017;54;mai;2108,2497;409;731,971292;3,21
2017;54;jun;2108,2497;386;736,99778;3,3
2017;55;jul;2255,22238;376;749,01285;3,21
2017;55;ago;2255,22238;376;759,4847;3,15
2017;56;set;2317,712807;386;782,96369;3,13
2017;56;out;2317,712807;396;765,271775;3,19
2017;57;nov;2334,807357;386;781,97162;3,26
2017;57;dez;2334,807357;412;747,304285;3,29
2018;58;jan;2400,06;479;756,221892;3,21
2018;58;fev;2400,06;506;745,099685;3,24
2018;59;mar;2590,8672;496;740,7456;3,28
2018;59;abr;2590,8672;496;750,280495;3,41
2018;60;mai;2423,3265;496;706,442024;3,64
2018;60;jun;2423,3265;496;682,378815;3,77
2018;61;jul;2630,586;496;670,804665;3,83
2018;61;ago;2630,586;485;654,722108;3,93
2018;62;set;2439,3129;485;650,13654;4,12
2018;62;out;2439,3129;496;679,67818;3,76
2018;63;nov;2814,8519;519;654,490625;3,79
2018;63;dez;2814,8519;469;636,082215;3,88
2019;64;jan;2635,331903;442;647,667388;3,74
2019;64;fev;2635,331903;432;679,292375;3,72
2019;65;mar;2333,233411;432;651,23884;3,85
2019;65;abr;2333,233411;432;628,64169;3,9
2019;66;mai;2286,833203;432;629,721944;4
2019;66;jun;2286,833203;419;628,64169;3,86
2019;67;jul;2328,876852;386;632,676108;3,78
2019;67;ago;2328,876852;342;670,804665;4,02
2019;68;set;2857,2;342;681,386745;4,12
2019;68;out;2857,2;342;677,870408;4,09
2019;69;nov;3077,889572;342;708,503325;4,16
2019;69;dez;3077,889572;342;740,2311933;4,11
2020;70;jan;3011,629838;342;775,68851;4,15
2020;70;fev;3011,629838;396;721,730925;4,34
2020;71;mar;3003,061242;396;613,31972;4,88
2020;71;abr;3003,061242;359;591,450088;5,33
2020;72;mai;2713,59384;313;590,887915;5,64
2020;72;jun;2713,59384;289;662,04138;5,2
2020;73;jul;3514,570553;276;719,625532;5,28
2020;73;ago;3514,570553;276;776,956155;5,46
2020;75;set;5022,248898;286;853,136108;5,4
2020;75;out;5022,248898;336;889,721445;5,63
2020;76;nov;5553,166122;379;964,84319;5,42
2020;76;dez;5553,166122;399;945,99386;5,15
2021;77;jan;4425,281045;482;989,038675;5,36
2021;77;fev;4425,281045;492;1047,901495;5,42
2021;78;mar;4708,437794;492;1192,644508;5,65
2021;78;abr;4708,437794;519;1269,62914;5,56
2021;79;mai;5536,266486;542;1339,882393;5,29
2021;79;jun;5536,266486;542;1217,953316;5,03
2021;80;jul;5484,609432;542;1252,708835;5,16
2021;80;ago;5484,609432;542;1323,09069;5,25
2021;81;set;5658,221289;592;1308,826928;5,28
2021;81;out;5658,221289;609;1384,213225;5,54
2021;82;nov;5907,297616;692;1397,93686;5,56
2021;82;dez;5907,297616;642;1327,742396;5,65
