Ano;Leilão;Mês;Biodiesel (R$/m3);"Metanol
 (US$/MT)";Óleo de soja FOB-Porto Paranaguá (US$/t);"Cotação dólar
 (R$/US$)"
2017 ;52 ;jan;2.810,81;416,00; 793,38 ;3,383
2017 ;52 ;fev;2.810,81;416,00; 765,33 ;3,2034
2017 ;53 ;mar;2.302,38;499,00; 729,67 ;3,0779
2017 ;53 ;abr;2.302,38;442,00; 710,21 ;3,1629
2017 ;54 ;mai;2.108,25;409,00; 731,97 ;3,1269
2017 ;54 ;jun;2.108,25;386,00; 737,00 ;3,1011
2017 ;55 ;jul;2.255,22;376,00; 749,01 ;3,2836
2017 ;55 ;ago;2.255,22;376,00; 759,48 ;3,1899
2017 ;56 ;set;2.317,71;386,00; 782,96 ;3,1976
2017 ;56 ;out;2.317,71;396,00; 765,27 ;3,1255
2017 ;57 ;nov;2.334,81;386,00; 781,97 ;3,1572
2017 ;57 ;dez;2.334,81;412,00; 747,30 ;3,2834
2018 ;58 ;jan;2.400,06;479,00; 756,22 ;3,3182
2018 ;58 ;fev;2.400,06;506,00; 745,10 ;3,1963
2018 ;59 ;mar;2.590,87;496,00; 740,75 ;3,2208
2018 ;59 ;abr;2.590,87;496,00; 750,28 ;3,2859
2018 ;60 ;mai;2.423,33;496,00; 706,44 ;3,4105
2018 ;60 ;jun;2.423,33;496,00; 682,38 ;3,6753
2018 ;61 ;jul;2.630,59;496,00; 670,80 ;3,7738
2018 ;61 ;ago;2.630,59;485,00; 654,72 ;3,8745
2018 ;62 ;set;2.439,31;485,00; 650,14 ;3,9134
2018 ;62 ;out;2.439,31;496,00; 679,68 ;4,1879
2018 ;63 ;nov;2.814,85;519,00; 654,49 ;3,7332
2018 ;63 ;dez;2.814,85;469,00; 636,08 ;3,7924
2019 ;64 ;jan;2.635,33;442,00; 647,67 ;3,909
2019 ;64 ;fev;2.635,33;432,00; 679,29 ;3,7049
2019 ;65 ;mar;2.333,23;432,00; 651,24 ;3,7155
2019 ;65 ;abr;2.333,23;432,00; 628,64 ;3,8344
2019 ;66 ;mai;2.286,83;432,00; 629,72 ;3,873
2019 ;66 ;jun;2.286,83;419,00; 628,64 ;4,0031
2019 ;67 ;jul;2.328,88;386,00; 632,68 ;3,8813
2019 ;67 ;ago;2.328,88;342,00; 670,80 ;3,7463
2019 ;68 ;set;2.857,20;342,00; 681,39 ;4,0188
2019 ;68 ;out;2.857,20;342,00; 677,87 ;4,0616
2019 ;69 ;nov;3.077,89;342,00; 708,50 ;4,1488
2019 ;69 ;dez;3.077,89;342,00; 740,23 ;4,1831
2020 ;70 ;jan;3.011,63;342,00; 775,69 ;4,0949
2020 ;70 ;fev;3.011,63;396,00; 721,73 ;4,1622
2020 ;71 ;mar;3.003,06;396,00; 613,32 ;4,3163
2020 ;71 ;abr;3.003,06;359,00; 591,45 ;4,7362
2020 ;72 ;mai;2.713,59;313,00; 590,89 ;5,2579
2020 ;72 ;jun;2.713,59;289,00; 662,04 ;5,8229
2020 ;73 ;jul;3.514,57;276,00; 719,63 ;5,1883
2020 ;73 ;ago;3.514,57;276,00; 776,96 ;5,3491
2020 ;75 ;set;5.022,25;286,00; 853,14 ;5,3852
2020 ;75 ;out;5.022,25;336,00; 889,72 ;5,2728
2020 ;76 ;nov;5.553,17;379,00; 964,84 ;5,6172
2020 ;76 ;dez;5.553,17;399,00; 945,99 ;5,4854
2021 ;77 ;jan;4.425,28;482,00; 989,04 ;5,0968
2021 ;77 ;fev;4.425,28;492,00; 1.047,90 ;5,2714
2021 ;78 ;mar;4.708,44;492,00; 1.192,64 ;5,3815
2021 ;78 ;abr;4.708,44;519,00; 1.269,63 ;5,6296
2021 ;79 ;mai;5.536,27;542,00; 1.339,88 ;5,6234
2021 ;79 ;jun;5.536,27;542,00; 1.217,95 ;5,2701
2021 ;80 ;jul;5.484,61;542,00; 1.252,71 ;5,0874
2021 ;80 ;ago;5.484,61;542,00; 1.323,09 ;5,1
2021 ;81 ;set;5.658,22;592,00; 1.308,83 ;5,2474
2021 ;81 ;out;5.658,22;609,00; 1.384,21 ;5,2576
2021 ;82 ;nov;5.907,30;692,00; 1.397,94 ;5,451
2021 ;82 ;dez;5.907,30;642,00; 1.327,74 ;5,4199
