ano,id_municipio,incremento,PibPercapita,pib
2018,1200013,23.8,15738,236379386
2018,1200054,9.5,12532,91485893
2018,1200104,24.4,16165,417839292
2018,1200138,15.8,15606,157797041
2018,1200179,11.8,14875,170402523
2018,1200203,18.2,16261,1425684781
2018,1200252,8.8,25350,459388218
2018,1200302,83.3,10501,364112450
2018,1200328,7.2,9429,76928799
2018,1200336,3.9,10629,198111625
2018,1200344,49.7,13390,125008412
2018,1200351,4.3,10463,192829951
2018,1200385,12.8,12926,252906442
2018,1200393,5,9570,112155821
2018,1200401,37,22288,8940823180
2018,1200427,10.9,9973,184545289
2018,1200435,3.4,11233,71467473
2018,1200450,9.1,16361,373185440
2018,1200500,54.8,11475,518416142
2018,1200609,48.4,11645,488825264
2018,1200708,26.4,12553,239113599
2018,1200807,14.1,12856,233715568
2018,1300029,5.8,10707,169815852
2018,1300060,0.4,7332,83090723
2018,1300086,0.3,8768,116341249
2018,1300102,0.1,10627,218252919
2018,1300144,161.7,9730,210011629
2018,1300201,0.7,7330,142480541
2018,1300300,14.1,9196,357097657
2018,1300409,1.2,6146,168178015
2018,1300508,1.6,8192,258823051
2018,1300607,0.1,7346,308681678
2018,1300631,2.1,7869,151535222
2018,1300680,0.6,7439,139703365
2018,1300706,114.3,12248,416147965
2018,1300805,4.2,7487,303713733
2018,1300839,0.9,12139,156312301
2018,1300904,45.2,6965,107613012
2018,1301001,1.9,10911,306340174
2018,1301100,0.9,8415,314585070
2018,1301159,4.2,11396,337265754
2018,1301209,2,23922,2015915527
2018,1301308,2,17818,500695476
2018,1301407,4.2,14855,517544371
2018,1301506,12.5,8008,157496218
2018,1301605,0.1,9929,180920357
2018,1301654,12.4,7529,123592260
2018,1301704,48.6,11521,622149166
2018,1301803,7.6,5263,152286365
2018,1301852,1.2,14276,679140059
2018,1301902,5,18819,1881003522
2018,1301951,0.9,12064,95164415
2018,1302009,0.2,12127,109917313
2018,1302108,1.1,19244,62832316
2018,1302207,1.5,7256,103844459
2018,1302306,1,15198,224217864
2018,1302405,325.8,10942,495068118
2018,1302504,2,14840,1428129610
2018,1302553,0.5,8834,275153451
2018,1302603,1.4,36446,78192321274
2018,1302702,81.6,9634,528955292
2018,1302801,1.2,7063,128443500
2018,1302900,6.7,7988,501298778
2018,1303007,5,7251,151529172
2018,1303106,2.1,6719,246711721
2018,1303205,0.7,7169,136020432
2018,1303304,141.5,7900,199377509
2018,1303403,2.8,9891,1119340522
2018,1303502,8.6,8119,156936606
2018,1303536,6.2,23264,822428929
2018,1303569,1.9,11770,383424847
2018,1303601,0.8,5629,137547989
2018,1303700,0.5,8252,181267773
2018,1303809,1.9,7344,329147158
2018,1303908,0.2,6519,251093910
2018,1303957,0.7,8562,117169781
2018,1304005,0.7,11130,101398720
2018,1304062,0.2,8275,533610703
2018,1304104,20.3,14308,247513435
2018,1304203,8.6,15530,934210623
2018,1304237,0.1,7191,133833348
2018,1304260,5.6,14026,187766213
2018,1304302,0.5,20172,330475300
2018,1304401,0,7381,166350755
2018,1600055,0.2,14171,75189997
2018,1600105,0,15203,137265167
2018,1600154,2.4,19528,311095677
2018,1600204,2,15029,164205123
2018,1600212,0.6,12994,76196756
2018,1600238,0.4,70269,533411620
2018,1600253,2.1,12842,69178362
2018,1600279,1.9,18253,902523206
2018,1600303,3.8,22182,10949648924
2018,1600402,4.7,12172,258120768
2018,1600501,2.4,16003,426122651
2018,1600535,1,15834,340182993
2018,1600550,0.2,13477,67289498
2018,1600600,0.6,17307,2070103895
2018,1600709,1.7,13365,225271548
2018,1600808,1.4,12137,189400482
2018,2100055,9.9,23290,2602790660
2018,2100204,0,5880,129850931
2018,2100402,0,7009,56532785
2018,2100436,0,10020,268927232
2018,2100477,0.2,5980,190727305
2018,2100550,0.4,7446,51513791
2018,2100600,7,7639,314235315
2018,2100709,0,6693,178124945
2018,2100832,0,6388,109003251
2018,2100873,0,5310,81222462
2018,2100956,6.5,7157,233586507
2018,2101004,1.4,8528,253828515
2018,2101103,0.1,6127,73994006
2018,2101202,0,10881,1138527684
2018,2101251,0.2,18224,307166977
2018,2101301,0,5320,98469909
2018,2101350,0,6258,35151694
2018,2101608,11.2,8240,723386240
2018,2101772,0,7613,84798414
2018,2101905,0,6083,129315479
2018,2101939,0,8224,49436897
2018,2101970,0.2,6849,62725139
2018,2102002,11,7608,315233384
2018,2102036,11.8,8667,290151947
2018,2102077,0,5564,89850922
2018,2102150,0,6085,57001030
2018,2102325,9.6,7822,561018950
2018,2102358,2,6460,99444773
2018,2102408,0,4970,55350920
2018,2102507,0.2,5351,103315577
2018,2102556,0.1,11570,165388077
2018,2102606,1,6448,129441771
2018,2102705,1,5690,124459361
2018,2102754,0.1,13164,143909920
2018,2102903,0.6,7029,166299837
2018,2103109,0,6337,67536638
2018,2103125,0,5604,48218789
2018,2103158,1.2,6101,80794238
2018,2103174,6.9,6853,146642795
2018,2103257,2.8,8922,130419316
2018,2103505,3.6,9345,383544514
2018,2103554,0,6810,109445369
2018,2103604,0.7,7031,457343656
2018,2103703,0,7150,234271897
2018,2103752,0.9,37649,485713106
2018,2103802,0.7,9852,229838907
2018,2104008,0,8085,140506403
2018,2104057,0,23771,983067573
2018,2104081,0.5,6851,70279490
2018,2104099,0.1,7403,140047851
2018,2104206,7.5,6964,108188218
2018,2104305,0.2,9854,115012067
2018,2104404,9,6744,120877047
2018,2104503,0.8,7202,77731454
2018,2104552,0.1,14228,257076415
2018,2104602,10.4,5830,97778699
2018,2104628,5.3,7144,55519642
2018,2104651,0,6600,67391246
2018,2104677,0,8398,215117913
2018,2104701,4.4,7095,44434921
2018,2104800,6.7,10913,751654332
2018,2104909,0,7015,84626470
2018,2105153,0,13283,186312111
2018,2105203,0,7911,89017325
2018,2105302,1.3,27621,7126745973
2018,2105351,0,5310,84413433
2018,2105401,1.8,8342,564546898
2018,2105427,9.1,12385,321167186
2018,2105450,2.4,6501,64965421
2018,2105476,0.5,5706,93760872
2018,2105500,0.3,9150,216823606
2018,2105609,0.3,6227,100482814
2018,2105658,0,13074,45835743
2018,2105708,0,7932,395876212
2018,2105807,0,6411,69286593
2018,2105906,0,6518,105582444
2018,2105948,0,8969,79721282
2018,2105963,0,6957,78756385
2018,2105989,0.3,10049,75330460
2018,2106003,0,14460,171593578
2018,2106201,0.7,7206,49841514
2018,2106326,0.2,8432,178766803
2018,2106359,0.8,7624,59545903
2018,2106375,0,6179,98938622
2018,2106508,0,6952,161672841
2018,2106631,0.3,4788,78770410
2018,2106755,0.4,19809,554676852
2018,2106805,0,6822,101730138
2018,2106904,0.2,6546,217326672
2018,2107001,1.2,7179,66108625
2018,2107357,0.1,6409,133134098
2018,2107407,0,7748,150680801
2018,2107456,0,6201,90309754
2018,2107506,0.1,7733,932791772
2018,2107605,0,6301,123886235
2018,2108108,0,7161,150491719
2018,2108207,0,15334,602134499
2018,2108256,0,5629,140325557
2018,2108306,0.2,5607,214190522
2018,2108405,0,5489,78443606
2018,2108454,0.2,9460,217807194
2018,2108504,0,7943,260644839
2018,2108603,0.1,9971,827467069
2018,2108702,0,7377,159289621
2018,2108801,0.3,6290,116526796
2018,2108900,0,8212,149105238
2018,2109007,0.8,22240,526542175
2018,2109056,0,6752,40477198
2018,2109106,0.6,12363,588057999
2018,2109205,0.5,6899,87131224
2018,2109239,0,7013,48806780
2018,2109270,0.2,6834,128229015
2018,2109452,0,7838,237788508
2018,2109551,0.5,10661,82678276
2018,2109601,1.2,8427,357994786
2018,2109759,0.3,6481,50028552
2018,2109809,0.2,6863,286659813
2018,2109908,0,14593,1292824166
2018,2110005,3.7,7867,569895641
2018,2110039,0,8526,214295574
2018,2110203,1.9,7227,270318098
2018,2110302,0.1,131703,1914172937
2018,2110500,0,6119,274190131
2018,2110708,9.3,8465,290937994
2018,2110856,0.3,8800,102538689
2018,2111003,0,5962,122991556
2018,2111029,0,5666,89676975
2018,2111052,0.6,11086,123747319
2018,2111201,0.1,12367,2180556271
2018,2111250,0.4,6611,50523423
2018,2111300,0.5,30700,33605800980
2018,2111409,0,7278,138196443
2018,2111508,0.1,8333,344585796
2018,2111532,0.2,7703,97408333
2018,2111631,0.1,7195,38455464
2018,2111672,0,6178,41077086
2018,2111706,0,6201,137312265
2018,2111722,0,5200,71397461
2018,2111763,0.2,10121,145403171
2018,2111789,0.1,6752,68905877
2018,2111805,0,8477,152591713
2018,2112233,0,12874,281757651
2018,2112274,0,8343,48607156
2018,2112308,5.3,7528,313330575
2018,2112407,5.4,7178,254812827
2018,2112456,0.1,6267,158969210
2018,2112803,0,7895,412358929
2018,2112852,0.7,8388,110572415
2018,2112902,0,7893,257814296
2018,2113009,0,8155,257078192
2018,2114007,0.6,8429,433869687
2018,2100501,0,31264,349151410
2018,2101400,0,36853,3457728266
2018,2101806,0,7618,42865149
2018,2102804,0,13269,322915869
2018,2104073,0,8925,75697165
2018,2104107,0,12571,158584428
2018,2106102,0,18298,221375180
2018,2106706,0,9806,205928667
2018,2107258,0,10727,57284106
2018,2107308,0,8270,38728436
2018,2108009,0,10180,197064647
