ano,id_municipio,incremento
2002,1200013,110.7
2003,1200013,58.8
2004,1200013,47.9
2005,1200013,80.6
2006,1200013,21.4
2007,1200013,12.2
2008,1200013,24.4
2009,1200013,13.7
2010,1200013,11.7
2011,1200013,16.8
2012,1200013,4.2
2013,1200013,12.3
2014,1200013,17.3
2015,1200013,15.2
2016,1200013,24.5
2017,1200013,5.5
2018,1200013,23.8
2019,1200013,20.4
2020,1200013,13
2002,1200054,1.4
2003,1200054,41.6
2004,1200054,4.5
2005,1200054,19.2
2006,1200054,0.9
2007,1200054,3.1
2008,1200054,3.5
2009,1200054,1.7
2010,1200054,3.9
2011,1200054,3.2
2012,1200054,2.5
2013,1200054,4.9
2014,1200054,4.1
2015,1200054,6.1
2016,1200054,3
2017,1200054,2.9
2018,1200054,9.5
2019,1200054,22.8
2020,1200054,4.9
2002,1200104,40.1
2003,1200104,85.5
2004,1200104,31.1
2005,1200104,46.5
2006,1200104,3.9
2007,1200104,5.8
2008,1200104,12.9
2009,1200104,8.4
2010,1200104,12.2
2011,1200104,14.7
2012,1200104,13.2
2013,1200104,17.9
2014,1200104,35.6
2015,1200104,22.8
2016,1200104,18.3
2017,1200104,27
2018,1200104,24.4
2019,1200104,62.3
2020,1200104,53.1
2002,1200138,45.3
2003,1200138,53
2004,1200138,53.6
2005,1200138,36.7
2006,1200138,15.2
2007,1200138,10.5
2008,1200138,16.6
2009,1200138,7.8
2010,1200138,8.4
2011,1200138,10
2012,1200138,10.7
2013,1200138,8.7
2014,1200138,11.4
2015,1200138,9.6
2016,1200138,18.1
2017,1200138,14.5
2018,1200138,15.8
2019,1200138,27.1
2020,1200138,22.8
2002,1200179,43.7
2003,1200179,29.1
2004,1200179,32.9
2005,1200179,20.6
2006,1200179,10.8
2007,1200179,3.1
2008,1200179,9
2009,1200179,3.9
2010,1200179,3.8
2011,1200179,9.9
2012,1200179,15.4
2013,1200179,5.8
2014,1200179,9.9
2015,1200179,6.2
2016,1200179,17.1
2017,1200179,11.8
2018,1200179,11.8
2019,1200179,28.4
2020,1200179,19.4
2002,1200203,17
2003,1200203,18
2004,1200203,54.9
2005,1200203,20.2
2006,1200203,3.2
2007,1200203,7.7
2008,1200203,10.8
2009,1200203,3.9
2010,1200203,23
2011,1200203,12.8
2012,1200203,10.1
2013,1200203,5.4
2014,1200203,11.2
2015,1200203,3.4
2016,1200203,9.3
2017,1200203,9.3
2018,1200203,18.2
2019,1200203,26.2
2020,1200203,40.8
2002,1200252,20.7
2003,1200252,41.3
2004,1200252,13.8
2005,1200252,17.8
2006,1200252,2.9
2007,1200252,1.9
2008,1200252,4.4
2009,1200252,4.3
2010,1200252,3.8
2011,1200252,7.3
2012,1200252,12.7
2013,1200252,6.7
2014,1200252,10.6
2015,1200252,10.1
2016,1200252,7.6
2017,1200252,10.4
2018,1200252,8.8
2019,1200252,11.6
2020,1200252,11.8
2002,1200302,51.9
2003,1200302,81.9
2004,1200302,16.1
2005,1200302,23.2
2006,1200302,13.9
2007,1200302,18.4
2008,1200302,28.8
2009,1200302,20.9
2010,1200302,23.7
2011,1200302,24
2012,1200302,33
2013,1200302,24.2
2014,1200302,36.1
2015,1200302,11.3
2016,1200302,40.3
2017,1200302,25.8
2018,1200302,83.3
2019,1200302,97.7
2020,1200302,88.3
2002,1200328,11.5
2003,1200328,6.9
2004,1200328,2.3
2005,1200328,2.7
2006,1200328,2.2
2007,1200328,2.1
2008,1200328,7.6
2009,1200328,1.9
2010,1200328,7
2011,1200328,6.2
2012,1200328,7.2
2013,1200328,2.3
2014,1200328,7.1
2015,1200328,0.9
2016,1200328,2.3
2017,1200328,2.6
2018,1200328,7.2
2019,1200328,11.8
2020,1200328,11.9
2002,1200336,9.8
2003,1200336,11.7
2004,1200336,25.2
2005,1200336,8.1
2006,1200336,5.4
2007,1200336,1.9
2008,1200336,4.6
2009,1200336,1.4
2010,1200336,5
2011,1200336,12.3
2012,1200336,3.5
2013,1200336,2.5
2014,1200336,2.6
2015,1200336,2.3
2016,1200336,3.1
2017,1200336,1.6
2018,1200336,3.9
2019,1200336,12.9
2020,1200336,4.8
2002,1200344,13.5
2003,1200344,50.2
2004,1200344,5.8
2005,1200344,23.1
2006,1200344,5.8
2007,1200344,5.2
2008,1200344,4.6
2009,1200344,5.3
2010,1200344,8.4
2011,1200344,8.2
2012,1200344,14.4
2013,1200344,16.5
2014,1200344,18.8
2015,1200344,19.7
2016,1200344,27.8
2017,1200344,14.4
2018,1200344,49.7
2019,1200344,32.9
2020,1200344,48.8
2002,1200351,18.2
2003,1200351,1.5
2004,1200351,10.2
2005,1200351,11.9
2006,1200351,2.2
2007,1200351,2.7
2008,1200351,12.6
2009,1200351,0.1
2010,1200351,23.3
2011,1200351,11.6
2012,1200351,3.8
2013,1200351,2.2
2014,1200351,8.9
2015,1200351,0.5
2016,1200351,2.8
2017,1200351,2.9
2018,1200351,4.3
2019,1200351,14.6
2020,1200351,29.8
2002,1200385,134.9
2003,1200385,71.7
2004,1200385,50.8
2005,1200385,69.9
2006,1200385,9.4
2007,1200385,4.9
2008,1200385,3.3
2009,1200385,10.9
2010,1200385,5.9
2011,1200385,7.1
2012,1200385,4
2013,1200385,5.1
2014,1200385,9.1
2015,1200385,5.5
2016,1200385,8.1
2017,1200385,5.5
2018,1200385,12.8
2019,1200385,9.3
2020,1200385,8.9
2002,1200393,13.2
2003,1200393,1.3
2004,1200393,7.6
2005,1200393,11.4
2006,1200393,1.1
2007,1200393,6.7
2008,1200393,6.6
2009,1200393,1.1
2010,1200393,14.2
2011,1200393,11.2
2012,1200393,5.9
2013,1200393,1.7
2014,1200393,9.8
2015,1200393,1.5
2016,1200393,4.5
2017,1200393,3.3
2018,1200393,5
2019,1200393,9.4
2020,1200393,24.7
2002,1200401,85.8
2003,1200401,81.8
2004,1200401,121.3
2005,1200401,85
2006,1200401,33.6
2007,1200401,14.2
2008,1200401,29.3
2009,1200401,19.4
2010,1200401,21
2011,1200401,43.8
2012,1200401,28.7
2013,1200401,20.1
2014,1200401,34.9
2015,1200401,31.3
2016,1200401,53.7
2017,1200401,27.6
2018,1200401,37
2019,1200401,82.6
2020,1200401,57
2002,1200427,12.2
2003,1200427,3.3
2004,1200427,57.7
2005,1200427,7.5
2006,1200427,2.2
2007,1200427,5
2008,1200427,6.1
2009,1200427,3.1
2010,1200427,11.7
2011,1200427,5.7
2012,1200427,4.9
2013,1200427,4.3
2014,1200427,1.2
2015,1200427,2.6
2016,1200427,5.7
2017,1200427,5.9
2018,1200427,10.9
2019,1200427,14.2
2020,1200427,17.8
2002,1200435,4.3
2003,1200435,10.3
2004,1200435,1.8
2005,1200435,6.1
2006,1200435,1.9
2007,1200435,3.8
2008,1200435,2.2
2009,1200435,1.8
2010,1200435,3.2
2011,1200435,3.1
2012,1200435,2.8
2013,1200435,1.4
2014,1200435,4
2015,1200435,2.3
2016,1200435,2.2
2017,1200435,2.8
2018,1200435,3.4
2019,1200435,7.3
2020,1200435,5.3
2002,1200450,79.1
2003,1200450,43.5
2004,1200450,40.5
2005,1200450,51.5
2006,1200450,17.4
2007,1200450,8.8
2008,1200450,5
2009,1200450,7.7
2010,1200450,4
2011,1200450,7.1
2012,1200450,2.4
2013,1200450,4.4
2014,1200450,3.2
2015,1200450,5
2016,1200450,9.2
2017,1200450,4.2
2018,1200450,9.1
2019,1200450,6.8
2020,1200450,8
2002,1200500,69.8
2003,1200500,157.6
2004,1200500,67.1
2005,1200500,84.2
2006,1200500,29.3
2007,1200500,21.9
2008,1200500,36.4
2009,1200500,21.2
2010,1200500,38
2011,1200500,40.8
2012,1200500,39.2
2013,1200500,32.6
2014,1200500,54.5
2015,1200500,43.3
2016,1200500,57.9
2017,1200500,37.7
2018,1200500,54.8
2019,1200500,83.1
2020,1200500,77.5
2002,1200609,57.2
2003,1200609,61.5
2004,1200609,22.5
2005,1200609,29.5
2006,1200609,23.3
2007,1200609,16.7
2008,1200609,38.2
2009,1200609,16
2010,1200609,25.9
2011,1200609,20.3
2012,1200609,29.9
2013,1200609,14.3
2014,1200609,32.1
2015,1200609,4
2016,1200609,14
2017,1200609,13.3
2018,1200609,48.4
2019,1200609,70.6
2020,1200609,46.3
2002,1200708,42.8
2003,1200708,33.5
2004,1200708,80.3
2005,1200708,40.2
2006,1200708,10.3
2007,1200708,2.3
2008,1200708,23.8
2009,1200708,7.4
2010,1200708,5.8
2011,1200708,15.4
2012,1200708,18.8
2013,1200708,11.1
2014,1200708,19
2015,1200708,18.3
2016,1200708,34
2017,1200708,18.8
2018,1200708,26.4
2019,1200708,62.3
2020,1200708,37.4
2002,1200807,76.4
2003,1200807,83.7
2004,1200807,61.6
2005,1200807,43.8
2006,1200807,22.2
2007,1200807,9.5
2008,1200807,8.4
2009,1200807,6.4
2010,1200807,12.2
2011,1200807,17.2
2012,1200807,13.5
2013,1200807,3.7
2014,1200807,15.9
2015,1200807,8.3
2016,1200807,16
2017,1200807,12.2
2018,1200807,14.1
2019,1200807,23.6
2020,1200807,24.1
2002,1300029,16.5
2003,1300029,9.6
2004,1300029,1.5
2005,1300029,4.6
2006,1300029,2.9
2007,1300029,2.1
2008,1300029,10.5
2009,1300029,2
2010,1300029,6.8
2011,1300029,2.4
2012,1300029,0.4
